year;valuering;reserver;andelskrone
2000;;;3440850
2001;;631051;3647301
2002;;;4718880
2003;;;4718880
2004;;;5603670
2005;;;25560600
2006;;4000000;26543700
2007;;4000000;26936940
2009;;2429338;22316370
2010;26500000;2192018;23594400
2011;26500000;0;23846002
2012;27000000;0;24146584
2013;32500000;0;30877526
2014;34370000;4000000;27828739
2015;38350000;4000000;31779431
2016;39900000;3500000;31894339
2017;40350000;3500000;32002302
2018;44000000;500000;35549032
2019;48550000;0;40582802
2020;50550000;0;42731407
2021;52750000;0;45380548
2022;53600000;850000;45247151
2023;57000000;850000;49019602
2024;57200000;850000;49546737
